file_path,emotion,source,duration_sec,sample_rate
/Users/sa27/Downloads/Emotions/Angry/03-01-05-01-02-01-16.wav,angry,RAVDESS,3.9038958333333333,48000
/Users/sa27/Downloads/Emotions/Angry/1022_ITS_ANG_XX.wav,angry,CREMA-D,2.43575,16000
/Users/sa27/Downloads/Emotions/Angry/1037_ITS_ANG_XX.wav,angry,CREMA-D,3.003,16000
/Users/sa27/Downloads/Emotions/Angry/03-01-05-01-02-01-02.wav,angry,RAVDESS,3.7704166666666667,48000
/Users/sa27/Downloads/Emotions/Angry/1018_IWL_ANG_XX.wav,angry,CREMA-D,2.1354375,16000
/Users/sa27/Downloads/Emotions/Angry/1059_IEO_ANG_MD.wav,angry,CREMA-D,2.3356875,16000
/Users/sa27/Downloads/Emotions/Angry/1048_IEO_ANG_HI.wav,angry,CREMA-D,2.3356875,16000
/Users/sa27/Downloads/Emotions/Angry/OAF_king_angry.wav,angry,TESS,1.662816416810027,24414
/Users/sa27/Downloads/Emotions/Angry/1087_IOM_ANG_XX.wav,angry,CREMA-D,2.7026875,16000
/Users/sa27/Downloads/Emotions/Angry/OAF_rot_angry.wav,angry,TESS,1.371712951585156,24414
/Users/sa27/Downloads/Emotions/Angry/OAF_hire_angry.wav,angry,TESS,1.5070860981404113,24414
/Users/sa27/Downloads/Emotions/Angry/03-01-05-02-01-01-02.wav,angry,RAVDESS,3.9039166666666665,48000
/Users/sa27/Downloads/Emotions/Angry/1082_IWW_ANG_XX.wav,angry,CREMA-D,2.1354375,16000
/Users/sa27/Downloads/Emotions/Angry/03-01-05-02-01-01-16.wav,angry,RAVDESS,3.970645833333333,48000
/Users/sa27/Downloads/Emotions/Angry/03-01-05-01-01-01-22.wav,angry,RAVDESS,3.703708333333333,48000
/Users/sa27/Downloads/Emotions/Angry/1023_ITH_ANG_XX.wav,angry,CREMA-D,2.7026875,16000
/Users/sa27/Downloads/Emotions/Angry/1036_ITH_ANG_XX.wav,angry,CREMA-D,3.103125,16000
/Users/sa27/Downloads/Emotions/Angry/YAF_numb_angry.wav,angry,TESS,2.135414106660113,24414
/Users/sa27/Downloads/Emotions/Angry/1019_IWW_ANG_XX.wav,angry,CREMA-D,2.402375,16000
/Users/sa27/Downloads/Emotions/Angry/1030_TIE_ANG_XX.wav,angry,CREMA-D,3.37,16000
